id,file_id,from_employee_id,to_employee_id,performed_by_user_id,action_type,remarks,created_at,action_date
96c58fb0-7b11-42ef-a10a-a71eb1a3e9be,51289c22-eeed-4b57-9de5-84d0f2e2dbda,de039bc4-66d8-4551-9f6d-80e7e31d34b3,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-12 15:07:05.869837+00,2026-01-02 16:29:04.671493+00
97ec30ff-77a0-41a8-93a2-9654b8c038cb,5891f315-4f9d-4f22-9171-152700463add,de039bc4-66d8-4551-9f6d-80e7e31d34b3,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,ceedaef4-18d6-46c9-9602-ee32c4d83e80,forwarded,forward,2025-12-29 17:10:29.372459+00,2026-01-02 16:29:04.671493+00
9a9cd380-600a-4a75-a6dd-bf9459923dc9,5891f315-4f9d-4f22-9171-152700463add,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,de039bc4-66d8-4551-9f6d-80e7e31d34b3,ceedaef4-18d6-46c9-9602-ee32c4d83e80,forwarded,forward,2025-12-29 16:58:50.260102+00,2026-01-02 16:29:04.671493+00
9b14df3d-2f95-48ba-afa2-613f8068b9c1,51289c22-eeed-4b57-9de5-84d0f2e2dbda,52eaaa8e-4a7a-4368-9fd1-7fe26475990d,436e1759-9f21-4071-a391-bea46f81b60a,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:44:26.750962+00,2026-01-02 16:29:04.671493+00
a7d1a669-7434-4fe3-a434-8ea2fc6f1dd3,5891f315-4f9d-4f22-9171-152700463add,fde52b52-6ad0-4a0c-8193-3e9a7c733be9,6d8dc6f2-81b5-4739-b76d-16ba355b0f8a,ceedaef4-18d6-46c9-9602-ee32c4d83e80,forwarded,forward,2025-12-29 17:11:30.192031+00,2026-01-02 16:29:04.671493+00
a7f0f9ed-610f-494a-a823-1eec36a0f4cc,5891f315-4f9d-4f22-9171-152700463add,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,436e1759-9f21-4071-a391-bea46f81b60a,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-09 18:27:34.628545+00,2026-01-02 16:29:04.671493+00
afe777d4-4e98-4bcd-8bce-465709b491bb,51289c22-eeed-4b57-9de5-84d0f2e2dbda,e2bd2111-1dc8-4c9b-8c48-2764a26f24eb,52eaaa8e-4a7a-4368-9fd1-7fe26475990d,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:44:12.726453+00,2026-01-02 16:29:04.671493+00
afe999ca-82f1-4f11-86a3-400974116233,51289c22-eeed-4b57-9de5-84d0f2e2dbda,436e1759-9f21-4071-a391-bea46f81b60a,52eaaa8e-4a7a-4368-9fd1-7fe26475990d,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:44:47.939518+00,2026-01-02 16:29:04.671493+00
afee02f9-1218-4685-98d5-03be686cdf24,51289c22-eeed-4b57-9de5-84d0f2e2dbda,,cd2bc50a-1995-4e1e-9aee-4565ab48d6ea,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,initiated,"The Lease Deed for A.P. Nagar Telephone Exchange- comprising 1430 Sq ft of Covered Area in the Ground Floor and First Floor & 120 Sq ft of Open space for earthing, cable entry etc. at A.P. Nagar, P.O & P.S- Sonarpur, Kolkata-700150 was signed for a period of 25 years w.e.f 09.04.2001 to 08.04.2026 with Smt Bharati Majumder ( agreement placed in Pg-1 to Pg-4 ).

   As per the existing Rent Sanction Memo for the last 5-year term w.e.f 09.04.2021 to 08.04.2026 ( in Pg-5 ) the present monthly Rent is Rs. 18,286/- per month- i.r.o the A.P. Nagar Telephone Exchange under Garia Cluster.

 Previously, the Lessor- Smt Bharati Majumder had verbally expressed her unwillingness for renewal/ extension of the lease agreement after its expiry on 08.04.2026, which was conveyed to the field unit ( i.e CFA and Transmission wings ). 

 However, a formal intimation/ notice regarding vacating of the A.P.Nagar Exchange within 08.04.2026 is received vide letter dtd 17.10.2025 ( in Pg-6 ) whereby the Exchange is to be fully vacated and handed over to the lessor within 08.04.2026 since she has decided to sell off the property. 

As per current ITPC Report ( Excel Sheet dtd 17.10.2025 attached herewith ) 

The No of Cxns of A.P. Nagar Exchange ( as on 17.10.2025 ) is-

     A) LL- 69 & B) BB- 2    i.e Total 71 Nos ( of which active Cxns are 64 Nos ).

Of these 64 DELs,

Total No of Bill paying customers is only 23 ( LL- 23 & BB- 0 )

Customer Category wise breakup of the current active 64 DELs is mentioned below-

2 Nos are Office Cxns ( LL-1 & BB-1 )

        and

39 Nos are RSTC ( including both Retired & Serving BSNL Employees )-

of which LL-38 Nos & BB- 1 No

 

  The lease term of 25 years for the A.P. Nagar Exchange is expiring on 08.04.2026 ( as seen in the Lease Deed dtd 09.04.2001 placed in in Pg-1 to Pg-4 ) and as demanded by the Lessor, BSNL has to vacate the A.P. Nagar Exchange and handover vacant possession of the premises as early as possible, preferably within MARCH-2026. 

 

The Basic details of A.P. Nagar Telephone Exchange are: 

1) Agreement Started on- 09-04-2001

2) Agreement Expired on- 08-04-2026

3) Total Rented Area- 

       a) Covered Area- 1430 Sq. Ft in the Ground Floor & First Floor

        b) Open Space-   120 Sq Ft. ( for Earthing, cable entry etc. )

 

4)  Present Rent:  Rs. 18,286/- ( Rent Sanction Memo attached in Pg-5 ) 

           and Average monthly Electricity Bill:  Rs. 8,500/-   

      Thus, Monthly Expenses = Rs. 27,000 ( approx ).....................................(I)

 

5) It may be noted that-

     a) There is no co-located BTS in A.P. Nagar Exchange 

      b) No OLTE is installed inside A.P. Nagar Exchange

  Monthly Revenue earned from the Exchange ( Copper based DELs ) is- Rs. 7,059....(II)

                                                         ( as per ABF data for OCTOBER-2025 )

Hence,

BSNL is also losing around Rs. 20,000 per month ( as seen from I & II ) due to much higher Expenditure than Revenue earned from A.P. Nagar Exchange.

   

 Considering the above scenario, it is hereby proposed for-

I) Shutdown of the LMG within DECEMBER-2025, so that subsequently the A.P. Nagar Exchange can be completely vacated by the active involvement of the different concerned wings- Transmission, EI, Electrical etc and handed over to the Landlord preferably within MARCH-2026.

II) To arrange for shifting the Transmission Equipments & OFC to any convenient nearby site for early vacating of the Exchange.

      The approval for closure of the A.P. Nagar Exchange is to be accorded by the competent authority for planning & execution of the shifting of Transmission Equipments as well as re-routing/ shifting of the Transmission OFC network present in A.P. Nagar Exchange for interconnection with the adjacent Tx nodes.

     Comments of field unit- DE/ Garia Cluster and SDE/ Incharge of A.P. Nagar Exchange regarding the afore-mentioned proposal may kindly be taken. 

       Thereafter, the e-file is to be routed to Transmission wing for urgent planning & execution of the shifting of Transmission Equipments as well as re-routing/ diversion of the existing Transmission OFC network, due to Closure of the A.P. Nagar Exchange. 

Submitted please.

",2025-12-06 16:32:51.03484+00,2026-01-02 16:29:04.671493+00
b43d352e-452c-4647-9559-20735c27c074,5891f315-4f9d-4f22-9171-152700463add,34b9627f-c3e5-435b-b83d-1d6769ce63fb,2f190850-6363-44a9-bde2-e83e067d0556,ceedaef4-18d6-46c9-9602-ee32c4d83e80,forwarded,forward,2025-12-29 17:13:48.093141+00,2026-01-02 16:29:04.671493+00
