id,jc_id,incoming_segment_id,incoming_fiber_no,outgoing_segment_id,outgoing_fiber_no,splice_type_id,logical_path_id,loss_db,created_at,updated_at
60ce84cc-f90d-4691-8f94-b2b5e7c3b9b2,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,22,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,22,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:03:36.043652+00,
60ee9686-e660-4fd6-8453-6f6a576f8240,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,11,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,11,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:02:44.447549+00,
63140a22-ca69-4b56-90dd-65782d66e7c5,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,85,e5e0c301-653a-4480-849e-fda995588efa,1,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:39:57.531842+00,
6349dcb3-f26d-4276-b763-2f26b458984b,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,984b6447-7128-4563-ad05-1d8d9f411f04,9,3e0aae2e-f820-4bc0-8083-db7bbd7cdd0d,9,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:01:38.859796+00,
65a91260-6613-4ab4-b9e6-1e0f3a6b3ebb,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,19,984b6447-7128-4563-ad05-1d8d9f411f04,43,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:48:40.882947+00,
68aea191-5482-4e92-a119-32b322e1b5fb,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,29,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,29,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:04:12.444199+00,
6946d479-d261-4058-9f33-64579e6a66b6,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,72,e5e0c301-653a-4480-849e-fda995588efa,24,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:59:38.231653+00,
6ebb29f5-7dd9-43a2-9d2b-6ba03aaf7eba,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,71,e5e0c301-653a-4480-849e-fda995588efa,23,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:59:33.369421+00,
768c11cc-8dd6-4d6b-a4d6-497eb1fc3422,4c3ec8a8-3d2a-4576-807b-39b8c9be6e45,f6530876-b5dc-42e2-b2fb-aee95ac83be0,89,e5e0c301-653a-4480-849e-fda995588efa,5,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:53:01.741692+00,
774a9d3f-f9b2-42c2-a4aa-90fd28911364,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,8,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,8,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:02:16.40612+00,
7e1eafbd-6555-4121-9698-7fb79dc4f017,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,24,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,24,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:03:43.691403+00,
7f3bd4c8-ba36-41ce-bd60-4b4e3398023b,70fe9eb9-2cdf-44f8-8495-baf4c41c715f,e5e0c301-653a-4480-849e-fda995588efa,18,984b6447-7128-4563-ad05-1d8d9f411f04,42,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-26 16:48:36.973954+00,
8249d971-84a6-4ae9-ac0a-363c8916790f,35364217-e223-439a-99f8-c8805bb4ecdd,f6530876-b5dc-42e2-b2fb-aee95ac83be0,13,40ce4760-c6a9-4be9-b2c7-fbf67a2a316e,13,a54cf3ef-aabf-4c07-a611-f297ee78136e,,0.30,2026-01-17 14:02:52.226878+00,
