id,name,parent_id,status,created_at,updated_at
61940e36-beb7-4b61-893c-7012ee98fd83,SDE/TM/Saltlake & SDE/TM/Rt. Mtce/SLT,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
62105f07-08a0-46a8-bb3b-5505e0b214c7,SDE/NOFN,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
624e6df1-846e-40f2-93e2-5025e7aacf0c,Chief Managing Director (CMD),,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
637d0445-bdd5-44bd-8c8c-c26b0a588590,SDE/TM/SHIBPUR-II,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
638d32b5-58b8-48dc-937c-be2e388ffc0c,JTO/TM/Russa-I,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
65c6bfbb-bb0e-48eb-8196-3caee681f86c,SDE/TI/Central,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
66f6f105-5845-490b-9094-04101a217e49,SDE/TM/CIRCUS,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
677a33c2-a13d-4de7-848d-fbc02a936a7b,JE/FRT/BKP,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
700b2a45-8422-4bd9-9c31-27c0fbbd01db,SDE/Tech/to PGM/TX,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
7038e0a5-7fde-4ac0-abc7-5599ef906b22,JTO/TI/North,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
7096a568-944d-4373-9c85-10b4b7fe1bd2,DGM(TX P&I),b11e49e5-856e-4472-9da3-ea31db0203cb,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
71121a19-fc47-4303-a1a8-9f7b54f5d2e8,SDE/TM/Central,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
7138be3a-890e-41ae-a480-34583d7ffeae,SDE/TI/South,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
717665b0-3172-4b9f-af41-b0e0d8a9e054,JE/TM/BHT,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
73261259-6f1e-4066-820a-e1ca2be8bfd7,JE/Rt./BHL,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
733e7704-2983-45c7-8420-4b1d56193218,JTO/TM/BURRABAZAR,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
747b93d6-fac2-4aeb-b476-eace2882b8cb,JTO/TM/EAST,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
74e3a3df-fbed-4278-ad43-935b2ac2baae,JTO/TM/SLT,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
764b4e06-2573-44f7-8e7a-5757e22e751d,Junior Engineer (JE),,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
76df55ff-b229-4ee2-b003-8f7602367af4,TT/TI/South,bc2b0e39-3bab-4ee7-8872-75690e13b297,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
77ebc582-957d-47dd-8886-7fe3484ae497,JTO/TM/TB-3,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
78380c7c-4474-49e9-810b-c49d77c28fbd,JTO/TM/Central,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
78a3085a-274b-4517-9e2a-5622324a4705,JE/TM/SLT,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
